"Número de Orden","Tipo de Operación","Estado","Cantidad","Activo","Precio","Total","Moneda","Fecha de Creación"
"22751591812193980416","Venta","Esperando pago","10630.89000000","USDT","0.84800000","9015.00000000","CHF","1746187456230"
"22751540488420884480","Venta","Esperando pago","1533.01000000","USDT","0.84800000","1300.00000000","CHF","1746175219695"
"22751539684322422784","Venta","Esperando pago","598.08000000","USDT","0.83600000","500.00000000","CHF","1746175028014"
"22751507099642658816","Venta","Esperando pago","592.41000000","USDT","0.84400000","500.00000000","CHF","1746167259193"
"22751502108120276992","Venta","Esperando pago","4840.05000000","USDT","0.85000000","4114.04200000","CHF","1746166069119"
"22751372952767221760","Venta","Esperando pago","4840.05000000","USDT","0.84800000","4104.36200000","CHF","1746135276095"
"22751361715871617024","Venta","Esperando pago","2352.94000000","USDT","0.85000000","2000.00000000","CHF","1746132597036"
"22751341483388047360","Venta","Esperando pago","11655.01000000","USDT","0.85800000","10000.00000000","CHF","1746127773191"
"22751299660771627008","Venta","Esperando pago","1001.00000000","USDT","0.85000000","850.85000000","CHF","1746117801917"
"22750614235542220800","Venta","Esperando liberación","0.01994016","BTC","88013.30300000","1755.00000000","CHF","1745954383801"
"22746227810841120768","Venta","Esperando liberación","0.00374663","BTC","80071.91600000","300.00000000","CHF","1744908578641"
