"Número de Orden","Tipo de Operación","Estado","Cantidad","Precio","Moneda"
"22751591812193980416","Venta","Esperando pago","10630.89000000","0.84800000","CHF"
"22751540488420884480","Venta","Esperando pago","1533.01000000","0.84800000","CHF"
"22751539684322422784","Venta","Esperando pago","598.08000000","0.83600000","CHF"
"22751507099642658816","Venta","Esperando pago","592.41000000","0.84400000","CHF"
"22751502108120276992","Venta","Esperando pago","4840.05000000","0.85000000","CHF"
"22751372952767221760","Venta","Esperando pago","4840.05000000","0.84800000","CHF"
"22751361715871617024","Venta","Esperando pago","2352.94000000","0.85000000","CHF"
"22751341483388047360","Venta","Esperando pago","11655.01000000","0.85800000","CHF"
"22751299660771627008","Venta","Esperando pago","1001.00000000","0.85000000","CHF"
"22750614235542220800","Venta","Esperando liberación","0.01994016","88013.30300000","CHF"
"22746227810841120768","Venta","Esperando liberación","0.00374663","80071.91600000","CHF"
